firstcity,CBSA_Code,Export_Plan_Executive_Summary,Export_Plan,Global_Trade_and_Investment_Plan,Policy_Memo,Implementation_Plan,Survey_Analysis,Market_Assessment_Executive_Summary,Market_Assessment,Export_Resources_Guide
Atlanta,M12060,,,,,,,,,
Charleston,M16700,http://web.charlestonchamber.net/External/WCPages/WCWebContent/WebContentPage.aspx?ContentID=27159,,,,,,,,
Chicago,M16980,,,,,,,,,
Columbus,M18140,,http://columbusregion.com/Columbus/media/Columbus/PDFs/Brochures/Columbus-Global-Connect-MEI-Part-1.pdf,http://www.brookings.edu/~/media/Multimedia/Interactives/2013/GCXMedia/TradeAndInvestmentPlans/Columbus.pdf,,,,,,
Des Moines,M19780,,http://www.desmoinesmetro.com/documents/filelibrary/pdfs/economicdevelopment/2013_GreaterDesMoinesRegionalExport_4CBBB7FAAFAB3.pdf,,,,,,,
Greenville,M24860,,,,,,,,,
Indianapolis,M26900,,http://www.indychamber.com/files/1414/2429/3865/Metro_Indy_GCI_Export_Plan_low_resolution.pdf,,,,,,,
Jacksonville,M27260,,,,,,,,,
Los Angeles,M31100,http://www.brookings.edu/~/media/Projects/state%20metro%20innovation/02_export_overview_los_angeles.PDF,http://larexc.org/wp-content/uploads/2013/01/LACITYP_020109.pdf,,,,,,,
Louisville,M31140,,http://services.louisvilleky.gov/media/beam/Export_Plan_Web.pdf,,,,,,,
Milwaukee,M33340,,,,,,,,,
Minneapolis,M33460,http://www.brookings.edu/~/media/projects/state%20metro%20innovation/02_export_overview_minneapolis.pdf,http://www.brookings.edu/~/media/projects/state%20metro%20innovation/export_initiative_minneapolis.pdf,,,,,,,http://www.mn.gov/deed/images/Export%20Road%20Map%20and%20Resources.pdf
Phoenix,M38060,,,,,,,,,
Portland,M38900,http://www.brookings.edu/~/media/Projects/state%20metro%20innovation/02_export_overview_portland.PDF,http://s3.amazonaws.com/gpi-assets/uploaded_media/8/original.pdf,,http://s3.amazonaws.com/gpi-assets/uploaded_media/10/original.pdf,http://s3.amazonaws.com/gpi-assets/uploaded_media/98/original.pdf,http://s3.amazonaws.com/gpi-assets/uploaded_media/5/original.pdf,,,
Sacramento,M40900,,,,,,,,,
San Antonio,M41700,,http://insa.us/wp-content/uploads/2013/10/inSA_ExportsPlan_Digital.pdf,http://insa.us/wp-content/uploads/2014/12/inSA_2014_Trade_Investment_Guide_Main_Copy_Cover_Low_Final.pdf,,,,,,
San Diego,M41740,,http://www.sandiegobusiness.org/sites/default/files/Export%20plan%20FINAL.pdf,http://www.brookings.edu/~/media/Multimedia/Interactives/2013/GCXMedia/TradeAndInvestmentPlans/SanDiego.pdf,,,,http://www.sandiegobusiness.org/sites/default/files/BROOKINGS-FASTFACTS-F-0513.pdf,http://www.sandiegobusiness.org/sites/default/files/Market%20Assesment.pdf,
Syracuse,M45060,http://www.brookings.edu/~/media/Projects/state%20metro%20innovation/02_export_overview_syracuse.pdf,http://www.brookings.edu/~/media/Projects/state%20metro%20innovation/export_initiative_syracuse.pdf,,http://www.centerstateceo.com/External/WCPages/WCWebContent/WebContentPage.aspx?ContentID=1030,,,,,
Tampa,M45300,,,,,,,,,
Wichita,M48620,,,,,,,,,
Seattle,M42660,,,http://edc-seaking.org/wp-content/uploads/2014/10/Greater-Seattle-Global-Trade-Investment-Plan-v1.0.pdf,,,,,,
Fresno,M23420,,,,,,,,,
Houston,M26420,,,,,,,,,
Philadelphia,M37980,,,,,,,,,
Salt Lake City,M41620,,,,,,,,,
St. Louis,M41180,,,,,,,,,
Kansas City,M28140,,,,,,,,,
